ID	Name	Place	Once	Story	Auto	Begin	Duration	Interval	Desc	EndDesc	Hide
3018	战魍魉	Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14		Secrets_A4	0		5		在[TXT]有魑魅魍魉四鬼之二魍魉出现。	任务失败了。	
3019	弑杰神分身	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_S1	0		3		天地大变，杰神的封印漏了一丝，致使杰神的分身偷偷离开了封印，目前得知消息该分身在[TXT]。	任务失败了。	
3020	斩龙啸分身	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_S2	0		3		天地大变，邪神龙啸的封印侧漏了一丝，致使邪神龙啸冰封的分身偷偷离开了封印，目前得知消息该分身在[TXT]。	任务失败了。	
3021	杀噬族族兽	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_S3	0		3		从异界来了许多噬族的族兽，噬族可以吞噬万物，目前该魔物在[TXT]，请务必快速击杀该魔物。	任务失败了。	
11152	缩影之卷	Place_CentralPlains3	1	Secrets_SuoYingTuJuan	1	1999	1		先天混沌灵宝万象缩影卷在中原平顶山现世，传闻此物可召唤天地生灵缩影具现而出，神妙非凡。		
11153	蛟龙踪迹	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_BossLong	1	300	3	10	近日自[TXT]隐约感应到蛟龙出没的气息。	蛟龙的气息消失无踪了……	
11154	凶凤踪迹	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_BossFeng	1	400	3	10	近日自[TXT]隐约感应到凶凤出没的气息。	凶凤的气息消失无踪了……	
11155	阴阳之息	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3		Secrets_BossZhuLong	1	500	3	50	近日自[TXT]隐约感应到阴阳之道异常的气息。	阴阳之道异常的气息消失了……	
11156	古修传闻	Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity|Place_Desert|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_CentralPlains5|Place_CentralPlains4|Place_FertileField3|Place_FertileField2|Place_FertileField1		Secrets_DaNengChuShi	1	300	3	10	近日传闻，[TXT]有古代修行者的消息流出。	传闻出现在[TXT]的古代修行者离开了……	
11157	任务大厅	Place_renwu	1	BaoZang_renwu	1	3	9999		任务大厅目前处于测试阶段，但不影响正常体验，如有更好的想法或意见，可联系老杨		0
11158	不死咒怨	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	1	BSZY	1	333	30		近日，江湖传闻[TXT]上古魔石重现江湖，各路古修大能纷纷前去争夺，据传夺得此物即可一统江湖。	[TXT]的魔石已经被人夺走了。	
11159	诛仙四剑	Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_Desert|Place_Desert2|Place_Desert4|Place_Snowfield|Place_Snowfield3	1	ZXSJ	1	222	7		近日，江湖传闻[TXT]诛仙四剑从古墓里挖出，各路散仙大能纷纷前去争夺。	[TXT]四剑已经被人夺走了。	
